97793;64932;65368
97834;64946;65413
97894;64962;65474
97934;64964;65544
97994;65023;65665
98034;65073;65729
98094;65059;65482
98134;64928;65222
98195;64807;65052
98235;64789;65011
98295;64768;65041
98335;64776;65118
98395;64831;65170
98435;64859;65182
98495;64891;65249
98535;64909;65305
98596;64936;65392
98636;64957;65447
98696;64983;65563
98736;65015;65648
98796;65084;65765
98836;65136;65809
98896;65161;65888
98936;65167;65861
98997;65055;65536
99037;64960;65389
99097;64905;65349
99137;64902;65368
99197;64957;65426
99237;64985;65446
99297;64989;65447
99338;64970;65469
99398;64991;65532
99438;65005;65607
99498;65048;65745
99538;65093;65821
99598;65155;65885
99638;65181;65930
99698;65199;65996
99739;65212;66054
99799;65241;66103
99839;65191;65982
99899;65087;65759
99939;65074;65707
99999;65073;65668
100039;65063;65673
100100;65071;65715
100140;65073;65695
100200;65052;65730
100240;65049;65790
100300;65126;65914
100340;65160;65964
100400;65215;66033
100440;65225;66062
100501;65231;66121
100541;65237;66153
100601;65251;66252
100641;65283;66327
100701;65291;66186
100741;65228;65986
100801;65137;65840
100841;65107;65806
100902;65090;65802
100942;65091;65831
101002;65081;65856
101042;65100;65885
101102;65146;65947
101142;65175;65980
101202;65197;66032
101243;65194;66064
101303;65209;66106
101343;65215;66144
101403;65237;66255
101443;65273;66314
101503;65335;66365
101543;65323;66211
101603;65171;65905
101644;65106;65811
101704;65062;65758
101744;65059;65800
101804;65088;65864
101844;65121;65873
101904;65142;65869
101944;65129;65883
102005;65137;65940
102045;65150;65979
102105;65164;66043
102145;65180;66118
102205;65221;66201
102245;65269;66246
102305;65311;66292
102345;65305;66203
102406;65160;65858
102446;65076;65756
102506;65038;65735
102546;65041;65780
102606;65100;65856
102646;65125;65854
102706;65127;65845
102746;65123;65852
102807;65144;65912
102847;65146;65950
102907;65176;66018
102947;65179;66071
103007;65225;66180
103047;65249;66224
103107;65299;66287
103147;65313;66183
103207;65147;65823
103248;65065;65702
103308;65036;65642
103348;65019;65656
103408;65032;65748
103448;65054;65760
103508;65080;65766
103548;65099;65775
103608;65120;65824
103648;65135;65873
103709;65156;65922
103749;65168;65960
103809;65169;66029
103849;65190;66099
103909;65246;66143
103949;65222;65949
104009;65066;65598
104049;65008;65522
104110;64985;65489
104150;64973;65505
104210;64991;65541
104250;64961;65537
104310;64983;65582
104350;65029;65623
104410;65077;65698
104450;65098;65740
104510;65116;65796
104551;65127;65828
104611;65136;65872
104651;65143;65930
104711;65170;65930
104751;65108;65686
104811;64975;65403
104851;64954;65358
104911;64947;65355
104952;64936;65392
105012;64949;65393
105052;64931;65368
105112;64922;65417
105152;64959;65494
105212;65026;65604
105252;65070;65642
105312;65088;65691
105352;65097;65726
105413;65113;65780
105453;65124;65791
105513;65032;65500
105553;64922;65319
105613;64891;65261
105653;64910;65269
105713;64948;65336
105753;64964;65341
105814;64921;65310
105854;64923;65299
105914;64928;65360
105954;64934;65434
106014;65002;65550
106054;65051;65606
106114;65104;65664
106154;65116;65692
106214;65115;65718
106255;65078;65514
106315;64898;65173
106355;64848;65158
106415;64869;65209
106455;64895;65289
106515;64965;65335
106555;64980;65323
106615;64958;65327
106656;64947;65364
106716;64983;65442
106756;64997;65497
106816;65023;65606
106856;65059;65667
106916;65123;65752
106956;65153;65769
107016;65068;65417
107057;64912;65153
107117;64826;65035
107157;64820;65037
107217;64810;65140
107257;64855;65190
107317;64897;65218
107357;64925;65244
107417;64940;65302
107458;64947;65361
107518;64986;65442
107558;64998;65511
107618;65023;65616
107658;65063;65670
